Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,911950,-,-,-,30.41,-87.22,0,13,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,18,30,204,508,8.8,0.11,5.6,66.89,14.9,1011,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,19,30,167,533,8.8,0.11,5.4,67.26,14.8,1010,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,20,30,74,833,9,0.11,5,69.33,14.5,1011,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,21,30,61,696,9.2,0.11,4.4,72.79,14,1011,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,22,30,33,365,9.6,0.11,3.9,78.58,13.2,1012,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,23,30,0,0,9.6,0.11,3.7,80.2,12.9,1013,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,0,30,0,0,9.6,0.11,3.5,82.46,12.5,1014,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,1,30,0,0,9.7,0.11,3.4,85.14,12.1,1014,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,2,30,0,0,9.6,0.11,3.3,87.19,11.7,1014,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,3,30,0,0,9.5,0.11,3.4,87.83,11.4,1015,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,4,30,0,0,9.2,0.11,3.6,89.08,10.9,1015,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,5,30,0,0,8.8,0.11,3.7,90,10.4,1016,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,6,30,0,0,8.5,0.11,3.7,90.88,9.9,1016,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,7,30,0,0,8.2,0.11,3.7,91.53,9.5,1016,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,8,30,0,0,8,0.11,3.7,91.63,9.3,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,9,30,0,0,7.9,0.11,3.6,92.21,9.1,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,10,30,0,0,7.8,0.11,3.4,93.73,8.8,1018,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,11,30,0,0,7.8,0.11,3,94.47,8.6,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,12,30,0,0,7.7,0.11,2.9,92.59,8.8,1019,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,13,30,45,332,7.8,0.11,3.1,87.94,9.7,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,14,30,68,717,7.7,0.11,3.1,81.23,10.8,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,15,30,78,845,7.5,0.11,2.8,74.59,11.9,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,16,30,81,908,7.5,0.11,2.6,69.06,13,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,17,30,82,936,7.6,0.11,2.5,65.64,13.9,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,18,30,79,939,7.8,0.11,2.4,63.67,14.6,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,19,30,74,917,7.9,0.11,2.4,62.72,15,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,20,30,66,862,8.1,0.11,2.3,62.92,15.1,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,21,30,53,743,8.9,0.11,2.1,69.59,14.4,1020,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,22,30,30,440,9.6,0.11,2.1,78.18,13.3,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,23,30,0,0,8.6,0.11,2.2,75.65,12.8,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,0,30,0,0,8.3,0.11,2.1,74.78,12.7,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,1,30,0,0,8.1,0.11,1.9,73.45,12.7,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,2,30,0,0,7.9,0.11,1.8,73.82,12.4,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,3,30,0,0,7.8,0.11,1.9,76.57,11.8,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,4,30,0,0,8.2,0.11,2.1,81.37,11.3,1021,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,5,30,0,0,8.7,0.11,2.4,85.92,11,1022,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,6,30,0,0,9.1,0.11,2.5,91,10.5,1022,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,7,30,0,0,9.2,0.11,2.4,94.51,10,1022,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,8,30,0,0,9,0.11,2.2,96.55,9.5,1022,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,9,30,0,0,8.7,0.11,2,96.07,9.3,1022,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,10,30,0,0,8.4,0.11,2,96.19,9,1022,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,6,11,30,0,0,8.2,0.11,1.9,96.03,8.8,1023,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
