lat,long,Year,Month,Day,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,date_time
30.17,-84.38,2019,5,14,73.125,338.4583333333333,16.150000000000002,0.14999999999999994,1.6375000000000002,69.95666666666665,22.733333333333334,1012.3333333333334,2019-05-14
30.17,-84.38,2019,5,15,60.875,393.125,14.716666666666669,0.14999999999999994,1.416666666666667,64.60749999999997,22.687499999999996,1013.9166666666666,2019-05-15
30.17,-84.38,2019,5,16,87.29166666666667,315.4583333333333,16.46666666666666,0.14999999999999994,1.3,65.98083333333332,23.787499999999998,1015.0416666666666,2019-05-16
30.17,-84.38,2019,5,17,94.54166666666667,303.75,19.19166666666667,0.16000000000000006,1.4625000000000001,72.62583333333335,25.066666666666674,1014.875,2019-05-17
30.17,-84.38,2019,5,18,72.70833333333333,337.625,19.624999999999996,0.16000000000000006,1.2958333333333332,70.63666666666666,25.92916666666667,1014.7083333333334,2019-05-18
30.17,-84.38,2019,5,19,74.54166666666667,360.0,19.691666666666666,0.16000000000000006,1.4958333333333333,69.56791666666666,26.120833333333326,1014.7083333333334,2019-05-19
30.17,-84.38,2019,5,20,58.041666666666664,376.375,18.849999999999998,0.16000000000000006,1.325,67.5075,26.34166666666667,1014.9583333333334,2019-05-20
30.17,-84.38,2019,5,21,59.708333333333336,393.2083333333333,18.35416666666666,0.16000000000000006,1.529166666666667,61.51291666666666,26.86666666666667,1013.0416666666666,2019-05-21
30.17,-84.38,2019,5,22,70.54166666666667,323.5416666666667,20.841666666666665,0.16000000000000006,1.0250000000000001,68.65291666666668,27.46249999999999,1015.2916666666666,2019-05-22
30.17,-84.38,2019,5,23,70.58333333333333,371.7083333333333,20.624999999999996,0.16000000000000006,1.7249999999999999,68.19625,27.745833333333326,1018.9166666666666,2019-05-23
30.17,-84.38,2019,5,24,51.916666666666664,414.9583333333333,19.1375,0.14999999999999994,1.4958333333333333,62.58750000000003,27.750000000000004,1018.625,2019-05-24
30.17,-84.38,2019,5,25,71.08333333333333,358.0833333333333,20.7,0.1400000000000001,1.1208333333333333,65.53833333333333,28.57083333333333,1017.6666666666666,2019-05-25
