Wind Speed,Pressure,is_weekend,day_of_week,Month,month,Relative Humidity,season,DHI,Surface Albedo,Dew Point,Temperature
1.4583333333333337,1010.0,0,1,6,6,80.1064699074074,2,82.3298611111111,0.1183194444444444,22.833622685185187,27.214120370370367
1.9270833333333333,1010.0,0,2,6,6,88.59304976851853,2,85.37760416666664,0.1183194444444444,24.28732638888889,27.003472222222225
1.95625,1010.0,0,3,6,6,88.69375000000001,2,102.32436342592594,0.1183194444444444,24.614583333333325,27.25810185185185
1.3937500000000005,1010.0983796296296,0,4,6,6,87.19535011574072,2,87.53327546296295,0.1183194444444444,24.537037037037027,27.53877314814815
1.304166666666667,1012.1874999999995,1,5,7,7,88.57600983796294,2,124.12557870370372,0.1183194444444444,24.53674768518518,27.203993055555543
0.9645833333333332,1013.8252314814812,1,6,7,7,80.78113136574075,2,118.228587962963,0.1183194444444444,23.720486111111104,28.057581018518515
0.6916666666666664,1010.3645833333334,0,0,7,7,80.00453124999997,2,90.0876736111111,0.1182789351851851,23.625868055555557,27.993923611111104
0.9916666666666666,1010.0,0,1,7,7,80.24537326388891,2,86.3978587962963,0.118125,23.72540509259259,28.14901620370371
1.522916666666666,1011.2094907407408,0,2,7,7,80.55326388888888,2,71.93923611111111,0.118125,23.77546296296296,28.24103009259259
1.620833333333333,1011.9502314814814,0,3,7,7,78.41359085648146,2,64.29890046296296,0.118125,23.155381944444443,28.25231481481482
1.152083333333333,1010.2864583333334,0,4,7,7,81.82520833333335,2,82.86168981481482,0.118125,23.90364583333333,28.094618055555568
1.0083333333333335,1010.0,1,5,7,7,80.63154513888887,2,122.10069444444444,0.118125,23.651331018518515,28.01620370370371
0.947916666666667,1010.0,1,6,7,7,82.00496238425924,2,97.20717592592592,0.118125,23.46556712962963,27.594328703703702
1.2270833333333333,1010.0,0,0,7,7,84.57414641203704,2,63.34461805555554,0.118125,23.74450231481481,27.492476851851844
1.435416666666666,1010.0,0,1,7,7,86.07389178240743,2,103.81076388888889,0.1179195601851851,23.89351851851852,27.103877314814827
2.8749999999999987,1010.5960648148148,0,2,7,7,90.34172743055554,2,72.28269675925927,0.1171388888888887,24.608796296296305,26.89554398148148
2.966666666666669,1010.8506944444443,0,3,7,7,94.20636863425926,2,124.24913194444444,0.1171388888888887,25.33420138888889,26.865740740740733
